target,ecoli_strain,ncbi_taxid
GlcNAc(b1-2)Gal(b1-3)FucNAc(a1-3)GlcNAc,126,562
QuiNAc(b1-3)FucOAc(a1-4)Gal(b1-3)GalNAc(a1-4)QuiNAc,1303,745156
QuiNAc(b1-3)Fuc(a1-4)Gal(b1-3)GalNAc(a1-4)QuiNAc,1303,745156
QuiNAc(b1-3)FucOAc(a1-4)Gal(b1-3)GalNAc(a1-4)QuiNAc(b1-3)FucOAc(a1-4)Gal(b1-3)GalNAc(a1-7)LDManHep,1303,745156
QuiNAc(b1-3)Ribf(b1-4)Gal(b1-3)GalNAc(a1-2)QuiNAc,180/C3,562
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,2513,562
GlcNAc(a1-4)GlcASer(b1-4)GlcNAc(a1-6)GlcNAc,2775/O8,562
Man(b1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(a1-3)GlcNAc(b1-2)Man,396/C1,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAcOAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4s,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4s,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4sI2,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4sI4,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAcOAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4sI:pWclK,562
GlcNAc(a1-4)GalA(a1-2)Ribf(b1-4)Gal(b1-3)GalNAc(b1-4)GlcNAc,522/C1,562
QuiNAc(b1-3)Rha(a1-3)[Gal(a1-6)]Gal(b1-3)D-FucNAc(a1-2)QuiNAc,62D-1,549
QuiNAc(b1-3)Rha(a1-3)[Gal(a1-6)]Gal(b1-3)D-FucNAc(a1-2)QuiNAc,62D1,562
[Fuc(a1-2)]Gal(b1-3)GalNAc(b1-4)GalNAc(a1-3)GalNAc(b1-6)Gal,87/D2,562
GlcOPGroA(a1-4)Gal(b1-4)Glc(b1-3)GlcNAc(b1-4)GlcOPGroA,94/D4,562
D-FucNAc(a1-4)ManNAc(b1-4)GlcNAc(a1-3)D-FucNAc,B,37762
D-FucNAc(a1-4)ManNAcA(b1-4)GlcNAc(a1-3)D-FucNAc,B,37762
Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo,B/PCM/1935,37762
NeuNAc(a2-3)Gal(b1-4)Glc,B41,869694
Glc(a1-3)Glc(a1-3)[LDManHep(a1-6)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB,562
Glc(a1-3)Glc(a1-3)[LDManHep(a1-6)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB,562
LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB1,562
LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB1,562
LDManHep(a1-6)LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB2,562
LDManHep(a1-6)LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB2,562
LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB20,562
LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB20,562
KdoOPEtn(a2-4)[Kdo(a2-7)]Kdo,BB4,562
KdoOPEtn(a2-4)[Kdo(a2-8)]Kdo,BB4,562
Glc(a1-3)LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB5,562
Glc(a1-3)LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB5,562
LDManHep(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB7,562
LDManHep(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB7,562
LDManHepOPPEtn(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB9,562
LDManHepOPPEtn(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB9,562
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)Kdo,BW25113,679895
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPEtn(a1-5)Kdo,BW25113,679895
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)Kdo,BW25113,679895
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPEtn(a1-5)Kdo,BW25113,679895
GlcA(b1-4)GlcNAc(a1-4)GlcA,Bi/8337/41,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[KdoOPEtn(a2-4)]Kdo,C,498388
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-7)LDManHepOPPEtn(a1-5)[Kdo(a2-4)]KdoOPPEtn,C,498388
Gal(a1-2)Gal(a1-2)Glc(a1-3)Glc,C,498388
Gal(a1-2)Gal(a1-2)[Glc(a1-3)]Glc(a1-3)Glc,C,498388
Gal(a1-2)Gal(a1-2)Glc(a1-3)Glc(a1-3)LDManHep(a1-3)LDManHep,C,498388
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep,C,498388
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc,C,498388
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Kdo(a2-4)KdoOPPEtn(a2-4)]Kdo,C/NBRC/13898,562
Ribf(b1-4)Gal(b1-3)GalNAc(a1-2)QuiNAc(b1-3)Ribf,C3,562
GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)Glc,CC1,562
GalA(a1-3)Fuc(a1-3)GlcNAc(b1-3)[Fuc(a1-4)]GlcNAc(b1-4)GalA,CCUG/36899,562
QuiNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)Glc,CLM37/PglC,562
Galf(b1-6)Glc(a1-3)RhaOAc(a1-3)[Glc(a1-6)]GlcNAc(a1-2)Galf,CLM37/dwecA,562
Rha(a1-3)[Glc(a1-6)]GlcNAc(b1-4)Rha,CWG1217/dwzx-wbbK,562
Rha(a1-3)GlcNAc(b1-4)Rha,CWG1218/dwzx-wbbK/dgtrA,562
LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,CWG303,562
LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,CWG303,562
LDManHep(a1-3)LDManHep(a1-5)Kdo,CWG303,562
LDManHep(a1-3)LDManHepOPEtn(a1-5)Kdo,CWG303,562
Gal(a1-2)Glc(a1-2)[Glc(b1-3)]Glc(a1-3)Glc,CWG309/pWQ272,562
Gal(a1-2)Gal(a1-3)Glc,CWG350/pWQ271,562
Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)LDManHep,CWG351,562
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-3)Man,Cat001/pLG91,562
ManOPOMe(a1-2)Man(a1-2)Man(a1-3)Man,Cat001/pLG91,562
Galf(b1-3)Gal(a1-3)Galf,DH5a,668369
Galf(b1-3)[Gal(a1-4)]Gal(a1-3)Galf,DH5a,668369
Galf(b1-3)[Gal(a1-2)]Gal(a1-3)Galf,DH5a,668369
Galf(b1-3)GlcNAc(b1-5)Galf(b1-3)GlcNAc(b1-5)Galf(b1-3)Gal(a1-3)Galf(b1-3)Gal,DH5a,668369
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[KdoOPPEtn(a2-4)]Kdo,EH100,562
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Gal(a1-7)Kdo(a2-4)]Kdo,EH100,562
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,EH100,562
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-7)LDManHepOPPEtn(a1-5)[Kdo(a2-4)]KdoOPPEtn,EH100,562
GlcNAc(b1-4)MurNAcAla(b1-4)GlcNAc,EH3247,562
GlcNAc(b1-4)[Rha(a1-3)][Glc(b1-6)]Glc(a1-3)FucNAc(a1-3)GlcNAc,F171,562
Gal(a1-2)Glc(a1-2)[Gal(a1-4)]Glc(a1-3)Glc,F2513,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F470,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F470,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPEtn(a1-5)Kdo,F470,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)Kdo,F470,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc,F470,562
Kdo(a2-8)Kdo(a2-4)Kdo,F515,562
Kdo(a2-4)Kdo(a2-4)Kdo,F515,562
Kdo(a2-4)Kdo(a2-6)GlcN(b1-6)GlcOPN,F515,562
Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F515,562
Kdo(a2-4)Kdo(a2-4)[LDManHep(a1-5)]Kdo,F515,562
Kdo(a2-4)[LDManHep(a1-5)]Kdo,F515,562
Kdo(a2-6)GlcNOMyr(b1-6)GlcNOMyr,F515,562
Kdo(a2-4)Kdo(a2-6)GlcNOMyr(b1-6)GlcNOMyr,F515,562
Kdo(a2-4)Kdo(a2-4)Kdo(a2-6)GlcNOMyr(b1-6)GlcNOMyr,F515,562
Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F515-140,562
Kdo(a2-8)Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F515-140,562
Kdo(a2-4)Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F515-140,562
Kdo(a2-4)[Kdo(a2-8)]Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F515-140,562
Kdo(a2-4)D-3dAraHepUlosonic(a2-6)GlcOPN,F515-140,562
Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F515-207,562
Kdo(a2-8)Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F515-207,562
Kdo(a2-4)Kdo(a2-6)GlcOPN(b1-6)GlcN,F515-207,562
GlcN(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F576,1197131
GlcN(a1-2)[Gal(b1-4)]Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F576,1197131
KdoOPEtn(a2-4)[LDManHep(a1-5)]Kdo,F583,562
Kdo(a2-4)[LDManHep(a1-5)]Kdo,F583,562
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,F632,562
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F635,562
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F635,562
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc,F653,562
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)[GlcNAc(a1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)Kdo(a2-4)]Kdo,F653,562
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,F653,562
Glc(a1-3)[GlcNAc(a1-4)]Gal(a1-3)[Glc(a1-4)]Glc,F653,562
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)LDManHep,F653/R3,562
GlcAGroN(b1-4)Glc(b1-4)GalA(b1-3)GlcNAc(b1-3)GlcAGroN,G5287,562
[Rha(b1-4)]GlcNAc(a1-2)Glc(b1-3)Rha(a1-3)GlcNAc(b1-3)GlcNAc,O188/G5413,562
FucNAc(a1-3)[Glc(a1-6)]GlcNAc(b1-2)Rha(a1-6)Glc(a1-3)FucNAc,GH164,562
FucNAc(a1-3)[Glc(a1-6)]GlcNAc(b1-2)Galf(b1-6)Glc(a1-3)FucNAc,GH58,562
Glc(b1-2)[GalNAc(a1-3)]Man(b1-4)Man(b1-3)GlcNAc(b1-3)Glc(a1-3)[Gal(a1-2)Gal(a1-2)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Kdo(a2-4)]Kdo,H1,562
Rha(a1-3)Rha(a1-2)Gal(a1-3)GlcNAc(a1-3)Rha,H1230,622
Man(a1-2)Man(a1-2)Man(b1-3)GlcNAc(a1-6)Man,H1408,562
Glc(b1-2)D-FucNBut(b1-6)Glc(a1-4)GalNAc(a1-3)GlcNAc(b1-2)Glc,H1988,562
Gal(a1-2)Gal(a1-2)[Glc(a1-3)]Glc(a1-3)Glc,HF4704,562
Galf(b1-4)Gal(a1-3)GalOAcA(a1-3)GalNAc(b1-3)Galf,HS1/2,562
GalNAc(b1-4)GalNAcOPGro(b1-4)[Glc(a1-2)][Gal(a1-6)]Glc(b1-3)GalNAc(b1-6)GalNAc,HS3-104,562
AltNAcA(a1-3)D-FucNAcN(b1-4)AltNAcA,IE1351,562
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)[GlcNAc(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)Kdo(a2-4)]Kdo,J5,562
GlcN(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[KdoOPEtn(a2-4)]Kdo,J5,562
GlcNAc(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo,J5,562
GlcN(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-3)LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-3)LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
GlcN(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHepOP(a1-5)Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-2)Glc(a1-2)[GlcN(b1-3)]Gal(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-2)Glc(a1-2)[GlcN(b1-3)]Gal(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
GlcNAc(a1-2)[Gal(b1-4)]Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-2)Glc(a1-2)Gal(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
GlcN(a1-2)Glc(a1-2)Gal(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)[GlcNAc(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)Kdo(a2-4)]Kdo,J5,562
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo,J5,562
GlcNAc(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcNAc(b1-6)GlcNAc-ol,J5,562
Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcNAc(b1-6)GlcNAc-ol,J5,562
GlcNAc(a1-7)LDManHep(a1-7)[Glc(a1-3)]LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-6)GlcNAc(b1-6)GlcNAc-ol,J5,562
Glc(a1-3)LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcNAc(b1-6)GlcNAc-ol,J5,562
Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Glc(a1-3)[GlcNAc(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)Kdo(a2-4)]Kdo,J5,562
Gal(a1-2)Gal(a1-2)[Gal(a1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo,J5,562
Kdo(a2-4)[LDManHep(a1-5)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,J5,562
QuiNFo(b1-4)GalNAcAN(a1-4)GalNAcAN(a1-3)GlcNAc,JC8031/pGAB2,562
Fuc(a1-3)Glc(b1-3)[GalOPyr(b1-4)GlcA(b1-3)Gal(b1-4)]Fuc(b1-4)Fuc,K12,83333
[GalOPyr(b1-4)GlcA(b1-3)Gal(b1-4)]Fuc(b1-4)FucOAc(a1-3)Glc(b1-3)Fuc,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)[Rha(a1-5)]KdoOPEtn(a2-4)]Kdo,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPEtn(a1-5)[Kdo(a2-4)[Rha(a1-5)]KdoOPEtn(a2-4)]Kdo,K12,83333
GlcNAc(a1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[GlcA(b1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Rha(a1-5)Kdo(a2-4)[Rha(a1-5)]KdoOPEtn(a2-4)]Kdo(a2-6)GlcN,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[KdoOPEtn(a2-4)]Kdo,K12,83333
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHepOPPEtn(a1-5)[Rha(a1-5)Kdo(a2-4)KdoOPEtn(a2-4)]Kdo,K12,83333
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[GlcA(b1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOPPEtn(a1-5)[KdoOPEtn(a2-4)]Kdo,K12,83333
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[GlcA(b1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOPPEtn(a1-5)[Rha(a1-5)Kdo(a2-4)KdoOPEtn(a2-4)]Kdo,K12,83333
Glc(a1-3)Glc(a1-3)[GlcA(b1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN(b1-6)GlcOPN,K12,83333
QuiNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)Glc,K12,83333
Galf(b1-3)[Gal(a1-2)]Gal(a1-3)Galf,K12/CWG286,83333
Galf(b1-3)[Gal(a1-4)]Gal(a1-3)Galf,K12/CWG286,83333
[GlcA(b1-3)Gal(a1-3)]Man(a1-3)Gal(b1-2)Man,K30,562
NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc,K1,1392869
NeuNAc(a2-3)Gal(b1-3)GalNAc(b1-4)[NeuNAc(a2-8)NeuNAc(a2-3)]Gal(b1-4)Glc,K1,1392869
